
NewRunat  10/10/2015 12:37:10
,Time,RandomCTR;CoLinCTR;accesses;click 
data,1241178600,0.0306131221719;0.0349140893471;21825.0;762.0
data,1241178900,0.0306486486486;0.0350221168316;21929.0;768.0
data,1241178900,0.030730941704;0.0353672931989;22026.0;779.0
data,1241178900,0.0307879464286;0.0354334267378;22126.0;784.0
data,1241178900,0.0308;0.0353608061904;22228.0;786.0
data,1241178900,0.0308075221239;0.0353320496171;22331.0;789.0
data,1241178900,0.0308436123348;0.0354673209904;22415.0;795.0
data,1241178900,0.0309298245614;0.0357174589072;22510.0;804.0
data,1241179200,0.0309759825328;0.0357616479533;22622.0;809.0
data,1241179200,0.0310108695652;0.0355885975717;22732.0;809.0
data,1241179200,0.0310692640693;0.0357236669293;22842.0;816.0
data,1241179200,0.0310969827586;0.0357454228422;22940.0;820.0
data,1241179200,0.0311330472103;0.0356925749023;23030.0;822.0
data,1241179200,0.0311623931624;0.0357034795764;23135.0;826.0
data,1241179200,0.0311765957447;0.0357818682264;23252.0;832.0
data,1241179500,0.0312245762712;0.0359071042934;23338.0;838.0
data,1241179500,0.0312594936709;0.0359107774982;23447.0;842.0
data,1241179500,0.0312899159664;0.0360433029081;23555.0;849.0
data,1241179500,0.0313138075314;0.0362836723474;23647.0;858.0
data,1241179500,0.0313625;0.0362779344304;23761.0;862.0
data,1241179500,0.0313734439834;0.036231884058;23874.0;865.0
data,1241179500,0.0314049586777;0.0363310252774;23974.0;871.0
data,1241179500,0.0314218106996;0.0363923393295;24071.0;876.0
data,1241179800,0.0314385245902;0.0363335402442;24165.0;878.0
data,1241179800,0.0314795918367;0.0364340765775;24263.0;884.0
data,1241179800,0.031506097561;0.0364717948718;24375.0;889.0
data,1241179800,0.0315587044534;0.0363331698545;24468.0;889.0
data,1241179800,0.0315927419355;0.0362888445404;24553.0;891.0
data,1241179800,0.031640562249;0.0363805970149;24656.0;897.0
data,1241179800,0.031676;0.0365001816934;24767.0;904.0
data,1241179800,0.0317111553785;0.0365824211204;24848.0;909.0
data,1241180100,0.0317301587302;0.0365501763386;24952.0;912.0
data,1241180100,0.0317786561265;0.0365152845399;25058.0;915.0
data,1241180100,0.0318287401575;0.0364026546914;25163.0;916.0
data,1241180100,0.0318411764706;0.0364298724954;25254.0;920.0
data,1241180100,0.03188671875;0.0365285996055;25350.0;926.0
data,1241180100,0.0319474708171;0.0366644398161;25447.0;933.0
data,1241180100,0.031996124031;0.0367356519698;25561.0;939.0
data,1241180400,0.032028957529;0.0367337388863;25644.0;942.0
data,1241180400,0.0320903846154;0.036900225523;25718.0;949.0
data,1241180400,0.0321245210728;0.0369667144573;25807.0;954.0
data,1241180400,0.0321335877863;0.0370084513565;25913.0;959.0
data,1241180400,0.0321558935361;0.0370897071258;26018.0;965.0
data,1241180400,0.0321837121212;0.037176002144;26119.0;971.0
data,1241180400,0.0322094339623;0.0372277529847;26217.0;976.0
data,1241180400,0.0322556390977;0.0374705479973;26314.0;986.0
data,1241180700,0.0322827715356;0.0375922771153;26415.0;993.0
data,1241180700,0.0323003731343;0.0376041941689;26513.0;997.0
data,1241180700,0.0323420074349;0.0375982253638;26597.0;1000.0
data,1241180700,0.0323648148148;0.0376213137483;26687.0;1004.0
data,1241180700,0.032426199262;0.0375527268655;26789.0;1006.0
data,1241180700,0.0324705882353;0.0376902184024;26877.0;1013.0
data,1241180700,0.0325183150183;0.0375847881686;26979.0;1014.0
data,1241180700,0.032545620438;0.0377170299224;27070.0;1021.0
data,1241180700,0.0325854545455;0.0378066271928;27191.0;1028.0
data,1241181000,0.0325887681159;0.0377766378426;27292.0;1031.0
data,1241181000,0.0326317689531;0.0378508595832;27397.0;1037.0
data,1241181000,0.032690647482;0.0379369294002;27493.0;1043.0
data,1241181000,0.0327222222222;0.0379191589632;27585.0;1046.0
