Ã¿´ÎÊ¹ÓÃ×îÓÅarm¸üĞÂA£¬b»¹ÊÇÊ¹ÓÃÏëÓ®µÄrewardÀ´¸üĞÂ£¬½á¹ûºÜ²î
New Run at  12/23/2016 10:11:40
, Time, RandomReward; LinUCBReward; 
data,1209592800000,21;16995;30
data,1280613600000,21;11417;30
data,1209592800000,21;9265;30
data,1277935200000,22;15776;30
data,1264978800000,22;13962;30
data,1293836400000,22;14061;30
data,1220220000000,22;493;30
data,1225494000000,22;15787;30
data,1293836400000,22;16708;30
data,1280613600000,22;840;30
data,1264978800000,22;12638;30
data,1251756000000,22;4820;30
data,1185919200000,22;18536;30
data,1277935200000,22;4677;30
data,1199142000000,22;5139;30
data,1230764400000,22;3817;30
data,1304677616706,22;6450;30
data,1262300400000,22;3331;31
data,1220220000000,22;5937;31
data,1204326000000,22;8401;31
data,1209592800000,22;10555;31
data,1285884000000,22;16150;31
data,1257030000000,22;10647;31
data,1228086000000,22;13532;31
data,1246399200000,22;1960;31
data,1304934717012,22;6345;31
data,1277935200000,22;14973;31
data,1209592800000,22;4047;31
data,1209592800000,22;17872;31
data,1196463600000,22;14957;31
data,1257030000000,22;8933;31
data,1133391600000,22;1352;31
data,1177970400000,22;16628;31
data,1241128800000,22;877;32
data,1212271200000,22;8688;32
data,1228086000000,22;14498;32
data,1296514800000,22;17473;32
data,1143842400000,22;1666;32
data,1304605847340,22;6031;32
data,1188597600000,22;9126;32
data,1230764400000,22;18566;32
data,1285884000000,22;5735;32
data,1280613600000,22;10976;32
data,1267398000000,23;10612;32
data,1272664800000,23;13102;32
data,1204326000000,23;9966;32
data,1270072800000,23;11623;32
data,1277935200000,23;11518;32
data,1293836400000,23;17760;32
data,1196463600000,23;3423;32
data,1172703600000,23;3122;32
data,1241128800000,23;11514;32
data,1254348000000,23;8175;32
data,1162335600000,23;11937;32
data,1272664800000,23;8340;32
data,1191189600000,23;15949;32
data,1191189600000,23;17436;32
data,1304596467368,23;72;33
data,1280613600000,23;12487;33
data,1204326000000,23;10572;33
data,1222812000000,23;7051;33
data,1251756000000,23;10976;33
data,1238536800000,23;13533;33
data,1291158000000,23;6134;33
data,1162335600000,23;11598;33
data,1249077600000,23;4774;33
data,1175378400000,23;17469;33
data,1214863200000,23;6257;33
data,1228086000000,23;14851;33
data,1207000800000,23;16995;33
data,1228086000000,23;12998;33
data,1191189600000,23;18530;33
data,1272664800000,23;17635;33
data,1191189600000,23;3601;33
data,1238536800000,23;15955;33
data,1264978800000,23;7947;33
data,1230764400000,23;7619;33
data,1214863200000,23;9807;33
data,1246399200000,23;8270;33
data,1212271200000,23;8301;33
data,1241128800000,23;6923;33
data,1146434400000,23;199;33
data,1257030000000,23;2597;33
data,1228086000000,23;1671;33
data,1251756000000,23;1079;33
