
New Run at  07/20/2016 19:55:51
, Time, RandomReward; LearnWReward
data,1270072800000,14;11122;35
data,1257030000000,14;2380;35
data,1293836400000,14;4793;35
data,1304607127720,14;207;35
data,1267398000000,14;2834;36
data,1270072800000,14;2619;36
data,1264978800000,14;750;36
data,1254348000000,14;7042;36
data,1249077600000,14;432;36
data,1262300400000,14;2666;36
data,1291158000000,14;12835;36
data,1257030000000,14;425;37
data,1175378400000,14;4751;37
data,1212271200000,14;10500;37
data,1288566000000,14;805;38
data,1201820400000,14;190;38
data,1304690624176,14;7007;38
data,1175378400000,14;4836;38
data,1304608259002,14;17139;38
data,1270072800000,14;14569;38
data,1209592800000,14;6132;38
data,1288566000000,14;12410;38
data,1277935200000,14;730;39
data,1212271200000,14;14002;39
data,1196463600000,14;14930;39
data,1296514800000,14;230;39
data,1222812000000,14;3758;39
data,1249077600000,14;441;40
data,1164927600000,14;3481;41
data,1212271200000,14;13710;41
data,1277935200000,14;2788;41
data,1162335600000,14;5116;41
data,1267398000000,14;877;41
data,1257030000000,14;2524;41
data,1285884000000,14;18387;41
data,1270072800000,14;3373;42
data,1267398000000,14;17640;42
data,1228086000000,14;13583;42
data,1249077600000,14;3735;42
data,1254348000000,14;12788;42
data,1267398000000,14;14560;42
data,1233442800000,14;998;42
data,1204326000000,14;2558;42
data,1246399200000,14;945;42
data,1304596472879,14;12160;42
data,1304705522894,14;11852;42
data,1220220000000,14;499;42
data,1304693866859,14;99;42
data,1254348000000,14;2839;42
data,1199142000000,14;1934;42
data,1296514800000,14;3797;42
data,1241128800000,14;1639;43
data,1220220000000,14;7343;43
data,1267398000000,14;403;44
data,1270072800000,14;2893;44
data,1212271200000,14;2978;44
data,1214863200000,14;2554;44
data,1212271200000,14;528;44
data,1217541600000,14;1013;44
data,1167606000000,14;428;44
data,1207000800000,14;3049;44
data,1172703600000,14;159;45
data,1285884000000,14;5925;45
data,1296514800000,14;706;46
data,1291158000000,14;16138;46
data,1270072800000,14;10565;46
data,1304596447147,14;3464;46
data,1272664800000,14;2869;46
data,1143842400000,14;7859;46
data,1180648800000,14;18430;46
data,1238536800000,14;13713;46
data,1228086000000,14;7828;46
data,1293836400000,14;5419;46
data,1162335600000,14;5793;46
data,1228086000000,14;2595;46
data,1254348000000,14;498;47
data,1204326000000,14;6193;47
data,1296514800000,14;2366;47
data,1267398000000,14;704;47
data,1188597600000,14;2786;48
data,1264978800000,14;1116;48
data,1241128800000,14;7074;48
data,1157061600000,14;11577;48
data,1246399200000,14;3940;49
data,1283292000000,14;1116;49
data,1304609051128,14;3308;49
data,1267398000000,14;16138;49
data,1304694492487,14;8649;49
data,1251756000000,14;230;49
data,1196463600000,14;190;49
data,1222812000000,14;9969;49
data,1267398000000,14;3067;49
data,1251756000000,14;1179;49
data,1262300400000,14;173;49
data,1222812000000,14;3870;49
data,1288566000000,14;2855;49
data,1209592800000,14;215;49
data,1246399200000,14;985;49
data,1212271200000,14;703;49
data,1146434400000,14;2357;49
data,1257030000000,14;959;50
data,1162335600000,14;8884;50
data,1214863200000,15;11416;50
data,1262300400000,15;441;51
data,1133391600000,15;7418;51
data,1214863200000,15;10908;51
data,1238536800000,15;1976;51
data,1238536800000,15;15448;51
data,1293836400000,15;4513;51
data,1193871600000,15;10640;51
data,1259622000000,15;2102;51
data,1246399200000,15;8880;51
data,1204326000000,15;683;51
data,1233442800000,15;2898;51
data,1296514800000,15;5296;51
data,1270072800000,15;2265;52
data,1267398000000,15;1170;52
data,1296514800000,16;2150;52
data,1230764400000,16;15865;52
data,1285884000000,16;18438;52
data,1159653600000,16;5790;52
data,1207000800000,16;733;52
data,1204326000000,16;51;53
data,1201820400000,16;3851;53
data,1167606000000,17;6139;53
data,1280613600000,17;6778;53
data,1235862000000,17;11501;53
data,1193871600000,17;3735;53
data,1209592800000,17;5020;53
data,1280613600000,17;11417;53
data,1209592800000,17;14125;53
data,1277935200000,17;11968;53
data,1264978800000,17;5258;53
data,1293836400000,17;14435;53
data,1220220000000,17;1004;53
data,1225494000000,17;15787;53
data,1293836400000,17;642;53
data,1280613600000,17;840;53
data,1264978800000,17;12638;53
data,1251756000000,18;2559;53
data,1185919200000,18;5526;53
data,1277935200000,18;4677;53
