Õı³£Êı¾İ£¬Õı³£½á¹û
New Run at  12/23/2016 10:20:37
, Time, RandomReward; LinUCBReward; 
data,1196463600000,14;4222;33
data,1222812000000,14;12292;33
data,1267398000000,14;18387;33
data,1251756000000,14;1179;33
data,1262300400000,14;10943;33
data,1222812000000,14;3870;33
data,1288566000000,14;1444;33
data,1209592800000,14;13622;33
data,1246399200000,14;16616;33
data,1212271200000,14;10580;33
data,1146434400000,14;5115;33
data,1257030000000,14;14623;33
data,1162335600000,14;5285;33
data,1214863200000,14;8401;33
data,1262300400000,14;441;34
data,1133391600000,14;11788;34
data,1214863200000,14;10908;34
data,1238536800000,15;16626;34
data,1238536800000,15;15448;34
data,1293836400000,15;5504;34
data,1193871600000,15;14807;34
data,1259622000000,15;173;35
data,1246399200000,15;8880;35
data,1204326000000,15;4839;35
data,1233442800000,15;8468;35
data,1296514800000,15;1258;35
data,1270072800000,15;5728;35
data,1267398000000,15;10765;35
data,1296514800000,15;9802;35
data,1230764400000,15;15865;35
data,1285884000000,15;1584;35
data,1159653600000,15;8168;35
data,1207000800000,15;6325;35
data,1204326000000,15;4254;35
data,1201820400000,15;3851;35
data,1167606000000,15;6139;35
data,1280613600000,15;16995;35
data,1235862000000,15;10923;35
data,1193871600000,15;15566;35
data,1209592800000,15;16995;35
data,1280613600000,15;11417;35
data,1209592800000,15;9265;35
data,1277935200000,15;15776;35
data,1264978800000,15;13962;35
data,1293836400000,15;14061;35
data,1220220000000,15;493;35
data,1225494000000,15;15787;35
data,1293836400000,15;16708;35
data,1280613600000,15;840;35
data,1264978800000,15;12638;35
data,1251756000000,15;14636;35
data,1185919200000,15;4701;35
data,1277935200000,15;4677;35
data,1199142000000,15;5139;35
data,1230764400000,15;3817;35
data,1304677616706,15;6450;35
data,1262300400000,15;3331;36
data,1220220000000,15;5937;36
data,1204326000000,15;12508;36
data,1209592800000,15;10039;36
data,1285884000000,15;16150;36
data,1257030000000,15;10619;36
data,1228086000000,15;13532;36
data,1246399200000,15;1960;36
data,1304934717012,15;606;37
data,1277935200000,15;14973;37
data,1209592800000,15;10565;37
data,1209592800000,15;17399;37
data,1196463600000,15;14957;37
data,1257030000000,15;8933;37
data,1133391600000,15;10174;38
data,1177970400000,15;2449;38
data,1241128800000,15;877;39
data,1212271200000,15;4168;39
data,1228086000000,15;14498;39
data,1296514800000,15;17473;39
data,1143842400000,15;4670;39
data,1304605847340,15;6031;39
data,1188597600000,15;9126;39
data,1230764400000,15;2978;39
data,1285884000000,15;5735;39
data,1280613600000,15;10976;39
data,1267398000000,15;5319;39
data,1272664800000,16;13102;39
data,1204326000000,16;9966;39
data,1270072800000,16;11623;39
data,1277935200000,16;4169;39
data,1293836400000,16;16150;39
data,1196463600000,16;3423;39
data,1172703600000,16;3122;39
