Êı¾İ½á¹ûÊÇ´íÎóµÄ
New Run at  12/22/2016 16:02:09
, Time, RandomReward; LinUCBReward; 
data,1196463600000,16;4222;32
data,1222812000000,16;12292;32
data,1267398000000,16;18387;32
data,1251756000000,16;1179;32
data,1262300400000,16;10943;32
data,1222812000000,16;8270;32
data,1288566000000,16;1444;32
data,1209592800000,16;13622;32
data,1246399200000,16;16616;32
data,1212271200000,16;10580;32
data,1146434400000,16;3813;32
data,1257030000000,16;2666;32
data,1162335600000,16;5285;32
data,1214863200000,16;8401;32
data,1262300400000,16;441;33
data,1133391600000,16;1962;33
data,1214863200000,16;10908;33
data,1238536800000,16;16626;33
data,1238536800000,16;15448;33
data,1293836400000,16;921;33
data,1193871600000,16;14807;33
data,1259622000000,16;173;34
data,1246399200000,16;8880;34
data,1204326000000,16;4839;34
data,1233442800000,16;8468;34
data,1296514800000,16;1258;34
data,1270072800000,16;5728;34
data,1267398000000,16;10765;34
data,1296514800000,16;9802;34
data,1230764400000,16;15865;34
data,1285884000000,16;1584;34
data,1159653600000,16;8168;34
data,1207000800000,16;6325;34
data,1204326000000,16;4254;34
data,1201820400000,16;3851;34
data,1167606000000,16;6139;34
data,1280613600000,16;16995;34
data,1235862000000,16;10923;34
data,1193871600000,16;15566;34
data,1209592800000,16;16995;34
data,1280613600000,16;11417;34
data,1209592800000,16;9265;34
data,1277935200000,16;11968;34
data,1264978800000,16;13962;34
data,1293836400000,16;14061;34
data,1220220000000,16;493;34
data,1225494000000,16;15787;34
data,1293836400000,16;16708;34
data,1280613600000,16;840;34
data,1264978800000,16;12638;34
data,1251756000000,16;14636;34
data,1185919200000,16;18536;34
data,1277935200000,16;4677;34
data,1199142000000,16;5139;34
data,1230764400000,16;3817;34
data,1304677616706,16;6450;34
data,1262300400000,16;3331;35
data,1220220000000,16;5937;35
data,1204326000000,16;8401;35
data,1209592800000,16;10039;35
data,1285884000000,16;16150;35
data,1257030000000,16;6227;35
data,1228086000000,16;13532;35
data,1246399200000,16;1960;35
data,1304934717012,16;539;35
data,1277935200000,16;14973;35
data,1209592800000,16;10565;35
data,1209592800000,16;17872;35
data,1196463600000,17;14957;35
data,1257030000000,17;8933;35
data,1133391600000,17;3400;35
data,1177970400000,17;16628;35
data,1241128800000,17;877;36
data,1212271200000,17;4168;36
data,1228086000000,17;14498;36
data,1296514800000,17;17473;36
data,1143842400000,17;1666;36
data,1304605847340,17;6031;36
data,1188597600000,17;9126;36
data,1230764400000,17;2978;36
data,1285884000000,17;5735;36
data,1280613600000,17;10976;36
data,1267398000000,18;5319;36
data,1272664800000,18;13102;36
data,1204326000000,18;9966;36
data,1270072800000,18;11623;36
data,1277935200000,18;3369;36
data,1293836400000,18;17760;36
data,1196463600000,18;3423;36
data,1172703600000,18;3122;36
data,1241128800000,18;11514;36
data,1254348000000,18;8175;36
data,1162335600000,18;11937;36
data,1272664800000,18;8340;36
data,1191189600000,18;15949;36
data,1191189600000,18;17436;36
data,1304596467368,18;72;37
data,1280613600000,18;12487;37
data,1204326000000,18;10572;37
data,1222812000000,18;1903;37
data,1251756000000,18;10976;37
data,1238536800000,18;13533;37
data,1291158000000,18;6134;37
data,1162335600000,18;11598;37
data,1249077600000,18;4774;37
data,1175378400000,18;7634;37
data,1214863200000,18;6257;37
data,1228086000000,18;14851;37
data,1207000800000,18;154;38
data,1228086000000,18;12998;38
data,1191189600000,18;3626;38
data,1272664800000,18;17635;38
data,1191189600000,18;3601;38
data,1238536800000,18;15955;38
data,1264978800000,18;7947;38
data,1230764400000,18;7619;38
data,1214863200000,18;9807;38
data,1246399200000,18;8270;38
data,1212271200000,18;8301;38
data,1241128800000,18;6923;38
data,1146434400000,18;199;38
data,1257030000000,18;2597;38
data,1228086000000,18;1671;38
data,1251756000000,18;1079;38
data,1217541600000,18;12215;38
data,1241128800000,18;6262;38
data,1162335600000,18;8019;38
data,1288566000000,18;1874;38
data,1235862000000,18;10572;38
data,1298934000000,18;9425;38
data,1280613600000,18;17208;38
data,1217541600000,18;859;38
data,1212271200000,18;4193;38
data,1217541600000,18;8867;38
data,1270072800000,18;190;38
data,1222812000000,18;4099;38
data,1293836400000,18;5691;38
data,1283292000000,18;964;38
data,1257030000000,18;11623;38
data,1196463600000,18;2411;38
data,1262300400000,18;6223;38
data,1136070000000,18;14061;38
data,1220220000000,18;4097;38
data,1254348000000,18;13074;38
data,1275343200000,18;2420;38
data,1191189600000,18;16568;38
data,1291158000000,18;14359;38
data,1264978800000,19;210;38
data,1175378400000,19;6041;38
data,1199142000000,19;16026;38
data,1251756000000,19;11055;38
data,1275343200000,19;173;38
data,1207000800000,19;207;38
data,1183240800000,19;9126;38
data,1228086000000,19;3735;38
data,1246399200000,19;225;38
data,1157061600000,19;13559;38
data,1241128800000,19;3870;38
data,1262300400000,20;17285;38
data,1293836400000,21;1376;39
data,1222812000000,21;11461;39
data,1217541600000,21;5937;39
data,1214863200000,21;855;40
data,1272664800000,21;15871;40
data,1238536800000,21;14960;40
data,1288566000000,21;3361;40
data,1283292000000,21;8347;40
data,1149112800000,21;2559;41
data,1298934000000,21;13642;41
